rera_ids,far,number_of_towers,total_unit_count,1_5BHK_count,1BHK_count,1RK_count,2_5BHK_count,2BHK_count,3_5BHK_count,3BHK_count,4_5BHK_count,4BHK_count,5BHK_count,1_5BHK_mean_carpet_area,1BHK_mean_carpet_area,1RK_mean_carpet_area,2_5BHK_mean_carpet_area,2BHK_mean_carpet_area,3_5BHK_mean_carpet_area,3BHK_mean_carpet_area,4_5BHK_mean_carpet_area,4BHK_mean_carpet_area,5BHK_mean_carpet_area,cost_of_land_inr,district,latitude,longitude,project_completion_date,project_name,project_start_date,project_type,taluk,total_area_of_land_sqm,total_covered_area_sqm,total_open_area_sqm,total_project_cost_inr,area,product_type,1RK,1BHK,1_5BHK,2BHK,2_5BHK,3BHK,3_5BHK,4BHK,4_5BHK,5BHK,avg_price,airport_distance_kms,ksr_jn_distance_kms,yeshwantpur_jn_distance_kms,nearest_metro_dist_kms,nearest_metro_station,nearest_major_road_dist_kms,nearest_major_road,project_duration
PRM/KA/RERA/1251/310/PR/270723/006098,1.25,3.0,80,0.0,0.0,0.0,16.0,36.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,76.88888888888889,0.0,90.28571428571428,0.0,0.0,0.0,45500000,Bengaluru Urban,12.867145538330078,77.68510437011719,2025-02-07,SHELL SAPPHIRE,2023-05-15,Residential/Group Housing,Bengaluru South,4047,2022,2025,348595063,Rayasandra,Apartment,0,0,0,1,1,1,0,0,0,0,6.8,36.66377592115311,17.38119671450888,24.25412418379144,12.657936873944866,Kundalahalli,2.7830671853626945,Hosur Road,1.735797399041752
PRM/KA/RERA/1251/310/PR/171023/006341,1.74,1.0,36,0.0,0.0,0.0,0.0,16.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.33250000000001,0.0,97.382,0.0,0.0,0.0,96903000,Bengaluru Urban,12.901158,77.590047,2025-12-31,MGR WINDSOR GARDENS,2023-01-01,Residential/Group Housing,Bengaluru South,2043,1030,1013,232103000,JP Nagar,Apartment,0,0,0,1,0,1,0,0,0,0,8.99,35.167078322555,8.627537903003955,15.364625145794475,1.96464850488983,Jaya Prakash Nagar,0.5685015149680954,Outer Ring Road,2.9979466119096507
PRM/KA/RERA/1251/446/PR/290224/006660,2.16,2.0,306,0.0,0.0,0.0,0.0,56.0,34.0,118.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,82.6125,118.17411764705882,106.24338983050848,0.0,162.85244897959183,0.0,2764444872,Bengaluru Urban,12.9546212,77.7426543,2027-12-31,Prestige Somerville,2024-04-01,Residential/Group Housing,Bengaluru East,26658,4027,22632,6548563096,Whitefield,Apartment,0,0,0,1,0,1,1,1,0,0,14.99,27.2014598823316,18.85922740502747,24.074428113800614,3.106687265750396,Nallurahalli,4.604614183088991,Marathahalli Underpass,3.748117727583846
PRM/KA/RERA/1250/304/PR/301224/007328,1.499,1.0,76,0.0,0.0,0.0,0.0,52.0,0.0,16.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,66.19153846153846,0.0,93.0725,0.0,132.68,0.0,20418750,Bengaluru Rural,13.048419,77.770521,2027-12-31,JP HIBISCUS,2024-09-01,Residential/Group Housing,Hosakote,4552,2241,2311,365381550,Sannatammanahalli,Apartment,0,0,0,1,0,1,0,1,0,0,5.8,17.943625341150053,23.12367696292343,25.747539166312457,5.985048480397296,Whitefield (Kadugodi),6.943233485703718,Old Madras Road,3.3292265571526354
PRM/KA/RERA/1251/446/PR/181122/005469,2.2002004444444445,1.0,219,0.0,0.0,0.0,23.0,160.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,98.75992826086956,78.635421775,0.0,113.7313364722222,0.0,0.0,0.0,190000000,Bengaluru Urban,13.0166035,77.7620812,2026-10-02,ELV High Garden,2022-10-02,Residential/Group Housing,Bengaluru East,14164,5181,8983,1691547151,Whitefield,Apartment,0,0,0,1,1,1,0,0,0,0,12.82,20.94933543982729,21.268798340137447,24.777252799966806,2.350965097661902,Whitefield (Kadugodi),5.413484399538577,Old Madras Road,4.0
PRM/KA/RERA/1251/446/PR/050225/007481,3.343,1.0,138,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.41595744680852,0.0,130.34,0.0,264447165,Bengaluru Urban,13.0264961,77.7409162,2027-06-30,SARANG BY SUMADHURA PHASE-II,2025-01-01,Residential/Group Housing,Bengaluru East,5281,1035,4625,1652672415,Whitefield,Apartment,0,0,0,0,0,1,0,1,0,0,10.515120506286621,19.33060488310772,19.311573937395263,22.44609416285066,3.871609412583555,Whitefield (Kadugodi),3.060751481592525,Old Madras Road,2.4914442162902124
PRM/KA/RERA/1251/310/PR/180424/006787,2.5,1.0,180,0.0,0.0,0.0,70.0,60.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,82.55571428571427,69.30416666666666,0.0,86.053,0.0,0.0,0.0,28309681,Bengaluru Urban,12.8622019,77.6146359,2027-03-15,SURAKSHA SPRINGS,2024-03-14,Residential/Group Housing,Bengaluru South,8818,3909,4908,951565481,Akshayanagar,Apartment,0,0,0,1,1,1,0,0,0,0,9.0,38.446489963295434,13.549876905178564,20.392195601240143,6.112859505666898,Yelachenahalli,2.739415228664721,NICE Peripheral Ring Road,3.0006844626967832
PRM/KA/RERA/1251/309/PR/220124/006568,2.24,9.0,580,78.0,0.0,0.0,52.0,313.0,0.0,95.0,0.0,42.0,0.0,42.276666666666664,0.0,0.0,71.43,61.12191693290735,0.0,86.31157894736843,0.0,114.5795238095238,0.0,868032000,Bengaluru Urban,13.06681217,77.62302505,2028-12-31,SNN ESTATES FELICITY,2022-06-01,Residential/Group Housing,Bengaluru North,26304,5128,21176,3950332000,Jakkur,Apartment,0,0,1,1,1,1,0,1,0,0,20.125,17.08357816275765,11.493279866227905,10.536433434078289,8.9954273124782,Baiyappanahalli,2.8396582906292975,Nagawara Flyover,6.584531143052704
PRM/KA/RERA/1251/446/PR/030922/005212,1.73,1.0,33,0.0,0.0,0.0,0.0,0.0,31.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,142.39806451612904,108.23,0.0,196.11,0.0,148670485,Bengaluru Urban,12.92759167,77.69517222,2026-03-31,Sobha Insignia,2023-01-01,Residential/Group Housing,Bengaluru East,3946,827,3119,762385229,Koramangala,Apartment,0,0,0,0,0,1,1,1,0,0,21.5,29.92883096485913,14.597948213897618,20.757836006026913,5.95763953788096,Kundalahalli,0.9396962910255904,Outer Ring Road,3.24435318275154
PRM/KA/RERA/1251/309/PR/100125/007379,2.25,2.0,86,0.0,0.0,0.0,0.0,17.0,0.0,60.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,73.92834502588235,0.0,94.82998885,0.0,161.36091497777778,0.0,7618635,Bengaluru Urban,13.07375,77.62275,2027-06-30,ELEGANT AURA,2024-11-01,Residential/Group Housing,Bengaluru North,4913,2211,2702,563731635,Jakkur,Apartment,0,0,0,1,0,1,0,1,0,0,9.2,16.453342543978444,12.15099857910005,10.839750834074342,9.67825431446566,Yeshwantpur,3.320886930592151,Bellary Road,2.6584531143052703
PRM/KA/RERA/1251/309/PR/060324/006682,2.492,6.0,595,0.0,114.0,0.0,0.0,213.0,0.0,268.0,0.0,0.0,0.0,0.0,43.79973684210526,0.0,0.0,69.61140845070423,0.0,101.55753731343285,0.0,0.0,0.0,27100000,Bengaluru Urban,13.20379,77.64307,2031-02-28,BELVEDERE BY UKN AIRPORT DISTRICT -PHASE 2,2024-03-01,Residential/Group Housing,Bengaluru North,18543,4227,14316,3329632996,Navarathna Agrahara,Apartment,0,1,0,1,0,1,0,0,0,0,7.5,6.8848393982334635,26.333526893312957,22.695603152950856,22.33523069040809,Peenya,8.914353548967942,Bellary Road,6.995208761122519
PRM/KA/RERA/1251/310/PR/080223/005702,2.249,2.0,64,0.0,0.0,0.0,0.0,1.0,0.0,40.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,87.29,0.0,116.0021,0.0,142.84373913043478,0.0,93430115,Bengaluru Urban,12.9326374,77.63249189999999,2027-01-19,SHRIRAM ESQUIRE,2023-01-24,Residential/Group Housing,Bengaluru South,4751,1396,3354,596483203,Ejipura,Apartment,0,0,0,1,0,1,0,1,0,0,14.43,30.418468830476787,8.324602221074395,15.070715750914394,4.772707186102076,Trinity,1.7750914088668328,Outer Ring Road,3.98631074606434
PRM/KA/RERA/1251/309/PR/160224/006634,2.2776168224299065,2.0,1325,0.0,800.0,0.0,0.0,130.0,0.0,395.0,0.0,0.0,0.0,0.0,29.38,0.0,0.0,56.018,0.0,66.6426582278481,0.0,0.0,0.0,413809982,Bengaluru Urban,13.1443035,77.6844405,2028-06-30,Dioro & Beryl at Brigade El Dorado,2024-02-05,Mixed Development,Bengaluru North,27578,7790,19788,4681908354,Huvinayakanahalli,Apartment,0,1,0,1,0,1,0,0,0,0,9.14,6.385506089152968,22.29490781256464,20.730200509721044,15.992117539163935,Krishnarajapura,7.987348845383295,Bellary Road,4.399726214921286
PRM/KA/RERA/1251/309/PR/200923/006268,2.25,2.0,198,0.0,0.0,0.0,14.0,215.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,73.69888475999998,64.61225901088372,0.0,90.597893435,0.0,0.0,0.0,600000000,Bengaluru Urban,13.05929,77.62329,2027-08-05,High Life Towers,2022-05-18,Residential/Group Housing,Bengaluru North,10926,1550,9376,1511735663,Thanisandra,Apartment,0,0,0,1,1,1,0,0,0,0,13.733349800109863,17.78097717106158,10.794730154234756,10.259141246500926,8.21126204515407,Baiyappanahalli,2.005176821719651,Nagawara Flyover,5.215605749486653
PRM/KA/RERA/1251/310/PR/180524/006902,2.5,1.0,60,0.0,0.0,0.0,0.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.80133333333333,0.0,104.63933333333333,0.0,0.0,0.0,218339200,Bengaluru Urban,13.034104,77.528657,2027-03-31,ROYAL ENCLAVE,2024-02-15,Residential/Group Housing,Bengaluru South,2729,1398,1331,561720380,Tumkur Road,Apartment,0,0,0,1,0,1,0,0,0,0,10.05,26.446485684980495,7.793501637864976,0.8326547863775341,0.4216649313009385,Peenya Industry,0.0803559786949903,Tumkur Road,3.1211498973305956
