rera_ids,bhk_type,bhk_count,mean_carpet_area,far,number_of_towers,total_unit_count,cost_of_land_inr,district,latitude,longitude,project_name,project_start_date,project_type,taluk,total_area_of_land_sqm,total_covered_area_sqm,total_open_area_sqm,total_project_cost_inr,area,product_type,avg_price,airport_distance_kms,ksr_jn_distance_kms,yeshwantpur_jn_distance_kms,nearest_metro_dist_kms,nearest_metro_station,nearest_major_road_dist_kms,nearest_major_road,bhk_unit_portion,total_carpet_area
PRM/KA/RERA/1251/308/PR/170824/006975,1.0,41.0,44.88,2.0950285714285717,2.0,409,17634375,Bengaluru Urban,12.829888994258102,77.66420423984528,The lake Terraces,2024-02-01,Residential/Group Housing,Anekal,8610,2042,6568,1466931735,Electronics City Phase 1,Apartment,8.901250000000001,40.96857396664408,19.174199020745835,26.141697960115568,12.564411369071895,Yelachenahalli,3.3632646715464576,Hosur Road,0.10024449877750612,1840.0800000000002
PRM/KA/RERA/1251/446/PR/120123/005620,1.0,59.0,32.97,2.0,3.0,338,114362553,Bengaluru Urban,13.06270123933129,77.74650947446791,Sattva Bliss,2022-09-16,Residential/Group Housing,Bengaluru East,13455,2969,10486,890875975,Budigere Cross,Apartment,10.6,15.579716707675486,21.35154733706464,23.354728832814207,7.5108704502898345,Whitefield (Kadugodi),5.77459089842827,Old Madras Road,0.17455621301775148,1945.23
PRM/KA/RERA/1251/446/PR/051024/007125,1.0,41.0,22.99444398902439,3.18,4.0,405,1335983994,Bengaluru Urban,12.98535765887552,77.75078040700681,SUMADHURA CAPITOL RESIDENCES,2024-08-10,Residential/Group Housing,Bengaluru East,16592,3653,12939,5354945631,Whitefield,Apartment,14.5,24.00349781216064,19.60427002307969,24.00057017427002,0.3946857215457005,Hopefarm Channasandra,5.762517225349203,Outer Ring Road,0.10123456790123457,942.77220355
PRM/KA/RERA/1251/446/PR/110522/004876,1.0,88.0,37.5,2.39027375,4.0,900,1113291279,Bengaluru Urban,12.895928957814888,77.69638561113626,DSR HIGHLAND GREENZ,2022-01-27,Residential/Group Housing,Bengaluru East,40873,11133,29740,4014885279,Sarjapur Road,Apartment,10.74,33.424627504631665,16.341344403574404,22.938638375034405,9.271055916894339,Kundalahalli,3.9496360336714624,Outer Ring Road,0.09777777777777778,3300.0
PRM/KA/RERA/1251/309/PR/030524/006841,1.0,1.0,49.15,1.75,2.0,68,99994750,Bengaluru Urban,13.027311397638767,77.6204006171817,DS MAX SWASTIKA,2024-04-01,Residential/Group Housing,Bengaluru North,4046,2696,1350,227780269,Nagavara,Apartment,5.63,21.045920001120866,7.803272112091402,9.373356663609423,5.293368363081909,Swami Vivekananda Road,1.1886284387956012,Outer Ring Road,0.014705882352941176,49.15
PRM/KA/RERA/1251/308/PR/210122/004649,1.0,65.0,27.21,2.7458,1.0,261,365704799,Bengaluru Urban,12.78689,77.74449,"Sobha Brooklyn Towers - Town Park Phase 5, W3",2021-12-01,Residential/Group Housing,Anekal,6762,1916,4845,1390002129,Yadavanahalli,Apartment,12.81,45.658578552228974,28.255472798220225,35.17746134800982,21.099607196812318,Nallurahalli,12.31485622895795,Hosur Road,0.24904214559386972,1768.65
PRM/KA/RERA/1250/303/PR/151223/006485,1.0,140.0,39.230714285714285,2.34,3.0,487,161997172,Bengaluru Rural,13.237063,77.72428,IVORY PHASE 2 AT BRIGADE ORCHARDS,2023-12-05,Residential/Group Housing,Devanahalli,14134,2969,11165,2146572926,Devanahalli,Apartment,10.84,4.750814059231214,33.29397063666415,30.935888065397297,26.719769428801595,Krishnarajapura,17.136328390959193,Bellary Road,0.2874743326488706,5492.3
PRM/KA/RERA/1251/446/PR/110722/005057,1.0,4.0,57.1354,1.75,1.0,285,560716493,Bengaluru Urban,13.001075219619928,77.71977940644614,JAI ROYAL PARK,2022-02-01,Residential/Group Housing,Bengaluru East,13354,4938,8416,1415716493,K R Puram,Apartment,7.0,21.82399502865675,16.43963460518024,20.383441427628558,1.6384052089273335,Hoodi,2.3849329540311897,Old Madras Road,0.014035087719298246,228.5416
PRM/KA/RERA/1251/308/PR/050924/006996,1.0,152.0,43.896184210526314,2.0950285714285717,6.0,702,2288800000,Bengaluru Urban,12.892282,77.7492091,DSR THE ADDRESS,2024-07-25,Residential/Group Housing,Anekal,55341,3922,51419,6866300000,Sarjapur,Apartment,10.08,34.12960916459402,21.543507182093016,27.80317783616841,9.698697850708836,Nallurahalli,7.941980223138435,Outer Ring Road Underpass,0.21652421652421652,6672.219999999999
PRM/KA/RERA/1251/446/PR/170524/006882,1.0,166.0,12.096746987951807,3.247,13.0,2168,3905090255,Bengaluru Urban,13.04825455763293,77.75192499329425,Godrej Woodscapes,2024-01-31,Residential/Group Housing,Bengaluru East,45352,10200,35151,23582600000,Konadasapura,Apartment,10.11,17.278865500778828,21.233363676981174,23.736679158376102,5.846045415808688,Whitefield (Kadugodi),5.128796740218672,Old Madras Road,0.07656826568265683,2008.06
PRM/KA/RERA/1251/310/PR/150622/004987,1.0,1.0,45.28,2.5,9.0,594,732310800,Bengaluru Urban,12.857381,77.61446,SNN RAJ SERENITY,2022-05-02,Residential/Group Housing,Bengaluru South,28145,20235,7910,4078631774,Akshayanagar,Apartment,9.5,38.96682084879303,14.04322179031773,20.86723641505907,6.439100988881825,Yelachenahalli,2.5333465400271646,NICE Peripheral Ring Road,0.0016835016835016834,45.28
